Country Name,Time,Forest area (% of land area),GDP growth (annual %),"Unemployment, total (% of total)","Water productivity, total ","Population, total ",Net migration,Current health expenditure (% of GDP) ,Domestic general government health expenditure (% of GDP)
United States,2014,33.86965942,2.287775933,6.17,40.35332261,318386329,1250914,16.19240761,8.22790337
United Arab Emirates,2014,4.467755562,4.165691841,1.902,134.9146136,8835951,-14954,3.63020706,2.57658958
United Kingdom,2014,12.96160046,3.199702626,6.11,393.4475307,64602298,261389,9.82684326,7.90565538
Sri Lanka,2014,33.86668793,6.377978897,4.19,6.311177244,21239457,-97807,3.60648036,1.61314976
Singapore,2014,23.58984485,3.935540277,3.74,459.4158132,5469724,60308,3.87155652,1.74364483
Philippines,2014,23.40699601,6.347987483,3.6,3.412841401,101325201,-237890,3.70313668,1.26327145
Qatar,2014,0,5.334323292,0.2,612.4583655,2214465,179768,2.42293572,2.10174274
New Zealand,2014,37.39665034,3.810836838,5.43,17.38236515,4516500,48532,9.40168381,7.2801528
India,2015,23.82222461,7.996253786,7.915,3.248785092,1322866505,-475094,3.59565997,0.92193186
Ireland,2015,10.95471041,24.37044535,9.91,242.4052893,4701957,13130,7.31753302,5.26927996
United States,2015,33.89972254,2.706369582,5.28,40.96800188,320738994,1221849,16.48109245,8.46681786
United Arab Emirates,2015,4.467755562,6.786772877,1.763,145.5173335,8916899,-14154,3.58359146,2.55334687
United Kingdom,2015,13.04096226,2.393103184,5.3,359.663964,65116219,254218,9.75462151,7.84124422
Sri Lanka,2015,34.39516585,4.205955475,4.52,6.576622549,21336697,-98598,3.88992047,1.7099427
Singapore,2015,23.23187588,2.976799316,3.79,606.8936853,5535002,40958,4.18069839,1.96816146
Philippines,2015,23.52399638,6.348309717,3.07,3.546827218,103031365,6954,3.8982749,1.46860588
Qatar,2015,0,4.753345724,0.17,646.9598223,2414573,178133,3.6881299,3.19502282
New Zealand,2015,37.3955034,3.736430715,5.41,18.03184518,4609400,47165,9.28344345,6.93415546
India,2016,23.91182535,8.256305502,7.842,3.517014715,1338636340,68119,3.50430417,0.94049966
Ireland,2016,11.06619248,2.006654115,8.37,232.8671446,4755335,18978,7.44555712,5.414505
United States,2016,33.89972254,1.667472076,4.87,41.65113187,323071755,1449371,16.79314804,8.58745289
United Arab Emirates,2016,4.467755562,5.56149076,1.64,155.1680451,8994263,-13520,3.4660213,2.49996734
United Kingdom,2016,13.05749597,2.165206211,4.81,356.147247,65611593,246940,9.69526958,7.84041071
Sri Lanka,2016,34.34411,5.05362489,4.24,6.908980383,21425494,-98896,3.86424899,1.66631913
Singapore,2016,22.9696756,3.601656039,4.08,625.9152481,5607283,36498,4.39097595,2.078861
Philippines,2016,23.64101016,7.14945675,2.7,3.769430452,104875266,79051,3.95484328,1.47373402
Qatar,2016,0,3.064191884,0.15,664.6570102,2595166,138455,3.68284607,3.04590583
New Zealand,2016,37.39603509,3.801758048,5.15,18.7173723,4714100,50012,9.24379444,6.8915782
India,2017,24.00142608,6.795383419,7.733,3.756009349,1354195680,-219656,2.93597651,0.96734685
Ireland,2017,11.17752939,9.005342424,6.71,239.8664453,4807388,29200,7.14633131,5.21533012
United States,2017,33.86692641,2.241921216,4.36,42.58491743,325122128,1377630,16.76793671,8.56208706
United Arab Emirates,2017,4.467755562,0.735068714,2.46,161.0394504,9068296,-12895,4.05960608,2.2251265
United Kingdom,2017,13.07816311,2.44357047,4.33,364.849956,66058859,239014,9.58797741,7.70561171
Sri Lanka,2017,34.29305414,6.460681271,4.05,7.355347584,21506813,-98598,3.59565163,1.47440422
Singapore,2017,22.62640449,4.544728218,4.2,668.1222495,5612253,35449,4.36602068,2.10733008
Philippines,2017,23.75802395,6.930988326,2.55,3.825127391,106738501,36111,3.96042776,1.48271859
Qatar,2017,0,-1.497604702,0.14,656.7981254,2711755,46900,3.43562698,2.71251249
New Zealand,2017,37.41160609,3.524413249,4.74,19.37704985,4813600,48815,8.96694851,6.76606941
India,2018,24.09102681,6.453851345,7.65,3.998416609,1369003306,-561563,2.8584938,0.98024821
Ireland,2018,11.23559297,8.527541391,5.74,246.7405924,4867316,33647,6.88002014,5.09988594
United States,2018,33.86692641,2.945384831,3.9,43.83920713,326838199,1200796,16.64094353,8.53671169
United Arab Emirates,2018,4.467755562,1.313913882,2.24,159.5021511,9140169,-8582,4.14547014,2.13816953
United Kingdom,2018,13.11536395,1.705021022,4,371.0707244,66460344,230577,9.65815544,7.73572683
Sri Lanka,2018,34.25804992,2.310084255,4.32,7.525262311,21670000,-97100,3.91227913,1.78758264
Singapore,2018,22.31092437,3.57543271,3.641,707.5995251,5638676,35726,4.07418776,2.03740263
Philippines,2018,23.87500419,6.341485572,2.34,4.051519214,108568836,-15371,3.9538188,1.53632784
Qatar,2018,0,1.234872202,0.11,664.9087429,2766732,11662,3.25339484,2.50761104
New Zealand,2018,37.42793665,3.5251832,4.33,20.06012636,4900600,80419,9.0351162,6.7610755
India,2019,24.18062754,3.871436941,6.51,4.153212787,1383112050,-593495,2.94352531,0.98541063
